epoch,batch,batch_loss,elapsed_s,data_wait_s,compute_s,timestamp_utc
6,250,-21.263821,276.2,0.35,33.79,2026-06-18T04:40:17:00Z
6,300,-20.519323,330.1,0.29,28.34,2026-06-18T04:41:11:00Z
6,350,-20.771982,384.0,0.25,24.44,2026-06-18T04:42:05:00Z
6,400,-21.302385,437.9,0.22,21.52,2026-06-18T04:42:59:00Z
6,450,-21.980328,491.8,0.2,19.25,2026-06-18T04:43:53:00Z
6,500,-21.172295,545.7,0.18,17.43,2026-06-18T04:44:47:00Z
6,550,-22.178768,599.6,0.16,15.95,2026-06-18T04:45:40:00Z
6,600,-22.513397,653.5,0.15,14.71,2026-06-18T04:46:34:00Z
6,650,-22.086353,707.4,0.14,13.66,2026-06-18T04:47:28:00Z
6,700,-20.640278,761.3,0.13,12.76,2026-06-18T04:48:22:00Z
6,750,-21.442318,815.2,0.12,11.98,2026-06-18T04:49:16:00Z
6,800,-21.115431,869.0,0.11,11.3,2026-06-18T04:50:10:00Z
6,850,-21.119184,922.9,0.1,10.7,2026-06-18T04:51:04:00Z
6,900,-21.546032,976.8,0.1,10.16,2026-06-18T04:51:58:00Z
6,950,-21.689907,1030.7,0.09,9.69,2026-06-18T04:52:52:00Z
6,1000,-21.249557,1084.6,0.09,9.25,2026-06-18T04:53:45:00Z
6,1050,-21.854181,1138.5,0.08,8.87,2026-06-18T04:54:39:00Z
6,1100,-22.211716,1192.3,0.08,8.51,2026-06-18T04:55:33:00Z
6,1150,-22.791597,1246.3,0.08,8.19,2026-06-18T04:56:27:00Z
6,1200,-22.278486,1300.2,0.07,7.89,2026-06-18T04:57:21:00Z
6,1250,-20.872652,1354.1,0.07,7.62,2026-06-18T04:58:15:00Z
6,1300,-21.487791,1408.0,0.07,7.37,2026-06-18T04:59:09:00Z
6,1350,-22.38031,1461.9,0.07,7.13,2026-06-18T05:00:03:00Z
6,1400,-22.694906,1515.8,0.06,6.92,2026-06-18T05:00:57:00Z
6,1450,-21.10038,1569.6,0.06,6.72,2026-06-18T05:01:50:00Z
6,1500,-21.270622,1623.5,0.06,6.53,2026-06-18T05:02:44:00Z
7,50,-21.320745,61.4,1.92,197.0,2026-06-18T05:03:48:00Z
7,100,-21.835032,115.3,0.96,99.04,2026-06-18T05:04:42:00Z
7,150,-22.474781,169.2,0.64,66.38,2026-06-18T05:05:36:00Z
7,200,-21.684357,223.1,0.48,50.06,2026-06-18T05:06:30:00Z
7,250,-21.675077,277.0,0.38,40.26,2026-06-18T05:07:24:00Z
7,300,-22.051582,330.9,0.32,33.73,2026-06-18T05:08:18:00Z
7,350,-21.301571,384.8,0.27,29.07,2026-06-18T05:09:12:00Z
7,400,-21.390198,438.7,0.24,25.57,2026-06-18T05:10:06:00Z
7,450,-22.32818,492.5,0.21,22.85,2026-06-18T05:11:00:00Z
7,500,-22.036114,546.4,0.19,20.67,2026-06-18T05:11:53:00Z
7,550,-22.283838,600.3,0.18,18.89,2026-06-18T05:12:47:00Z
7,600,-20.787664,654.1,0.16,17.4,2026-06-18T05:13:41:00Z
7,650,-21.614138,708.0,0.15,16.15,2026-06-18T05:14:35:00Z
7,700,-21.545332,761.9,0.14,15.07,2026-06-18T05:15:29:00Z
7,750,-22.50355,815.9,0.13,14.14,2026-06-18T05:16:23:00Z
7,800,-22.104149,869.8,0.12,13.32,2026-06-18T05:17:17:00Z
7,850,-22.219294,923.7,0.11,12.6,2026-06-18T05:18:11:00Z
7,900,-21.910204,977.6,0.11,11.96,2026-06-18T05:19:05:00Z
7,950,-22.860329,1031.5,0.1,11.39,2026-06-18T05:19:58:00Z
7,1000,-21.603901,1085.3,0.1,10.87,2026-06-18T05:20:52:00Z
7,1050,-21.854853,1139.2,0.09,10.41,2026-06-18T05:21:46:00Z
7,1100,-22.017149,1193.1,0.09,9.98,2026-06-18T05:22:40:00Z
7,1150,-22.841145,1247.0,0.08,9.6,2026-06-18T05:23:34:00Z
7,1200,-22.682482,1300.8,0.08,9.24,2026-06-18T05:24:28:00Z
7,1250,-22.029911,1354.7,0.08,8.91,2026-06-18T05:25:22:00Z
7,1300,-21.994686,1408.6,0.07,8.61,2026-06-18T05:26:16:00Z
7,1350,-22.105211,1462.5,0.07,8.33,2026-06-18T05:27:10:00Z
7,1400,-20.293301,1516.4,0.07,8.07,2026-06-18T05:28:03:00Z
7,1450,-21.854698,1570.3,0.07,7.83,2026-06-18T05:28:57:00Z
7,1500,-22.916645,1624.2,0.06,7.61,2026-06-18T05:29:51:00Z
8,50,-22.795527,60.5,2.07,229.37,2026-06-18T05:30:54:00Z
8,100,-22.864708,114.4,1.03,115.22,2026-06-18T05:31:48:00Z
8,150,-20.426414,168.3,0.69,77.17,2026-06-18T05:32:42:00Z
8,200,-21.918634,222.3,0.52,58.15,2026-06-18T05:33:36:00Z
8,250,-20.729031,276.2,0.41,46.74,2026-06-18T05:34:30:00Z
8,300,-22.269222,330.1,0.35,39.13,2026-06-18T05:35:24:00Z
8,350,-22.560072,384.0,0.3,33.69,2026-06-18T05:36:18:00Z
8,400,-22.500278,438.0,0.26,29.61,2026-06-18T05:37:12:00Z
8,450,-21.596222,491.9,0.23,26.44,2026-06-18T05:38:06:00Z
